Año,Mes,Dia,Fecha,Aduana_De_Embarque,Razón_social_del_importador,Peso_en_kilos_netos,Peso_en_kilos_brutos,País_de_Destino,Departamento_Origen,Departamento_De_Procedencia,Vía_de_transporte,Valor_FOB_(USD),Valor_Flete,Valor_seguro,Valor_otros,Precio_Unitario_FOB_(USD)_Peso_Neto,Precio_Unitario_FOB_(USD)_Peso Bruto,Precio_Unitario_FOB_(USD)_Cantidad,Continente_Destino
2012,10,2,2/10/2012,CARTAGENA,SUCESORES DE JOSE SALGADO S.A.I.C,24978,25227,ARGENTINA,CALDAS,BOGOTÁ,TRANSPORTE MARÍTIMO,"60446,76",0,0,0,"2,42","2,396113688","2,42",AMÉRICA
2012,10,4,4/10/2012,CARTAGENA,BOHNKAFT KOLONIAL GMBH & CO.KG,25020,25270,ALEMANIA (UE),HUILA,HUILA,TRANSPORTE MARÍTIMO,60000,0,0,0,"2,398081535","2,374356945","2,398081535",EUROPA
2012,10,8,8/10/2012,CARTAGENA,SR GENERAL COCOA CO-GUAN CHONG COCOA MANUFACTURER SDN BHD,75141,"75892,41",MALASIA,CUNDINAMARCA,BOGOTÁ,TRANSPORTE MARÍTIMO,"175078,53",0,0,0,"2,33","2,306930693","2,33",ASIA
2012,10,8,8/10/2012,CARTAGENA,SR GENERAL COCOA CO-GUAN CHONG COCOA MANUFACTURER SDN BHD,75141,"75892,41",MALASIA,CUNDINAMARCA,BOGOTÁ,TRANSPORTE MARÍTIMO,"175078,53",0,0,0,"2,33","2,306930693","2,33",ASIA
2012,10,8,8/10/2012,CARTAGENA,GENERAL COCOA CO/GUAN CHONG COCOA MANUFACTER SDN BDH,75141,"75892,41",MALASIA,CUNDINAMARCA,BOGOTÁ,TRANSPORTE MARÍTIMO,"175078,53",0,0,0,"2,33","2,306930693","2,33",ASIA
2012,10,9,9/10/2012,CARTAGENA,"OLAM AMERICAS, INC",100188,"101189,88",ESTADOS UNIDOS,CALDAS,CALDAS,TRANSPORTE MARÍTIMO,"242454,96",0,0,0,"2,42","2,396039604","2,42",AMÉRICA
2012,10,10,10/10/2012,CARTAGENA,FERRERO TRADING LUX,24930,25180,BÉLGICA (UE),SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,66762,1670,0,0,"2,677978339","2,651389992","2,677978339",EUROPA
2012,10,10,10/10/2012,CARTAGENA,GENERAL COCOA CO/GUAN CHONG COCOA MANUFACTER SDN BDH,75141,"75892,41",MALASIA,CUNDINAMARCA,BOGOTÁ,TRANSPORTE MARÍTIMO,"175078,53",0,0,0,"2,33","2,306930693","2,33",ASIA
2012,10,10,10/10/2012,BOGOTÁ,MHS INTERNATIONAL GMBH AND CO.KG,"27,5","33,07",ALEMANIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE AÉREO,"95,7",0,0,0,"3,48","2,893861506","3,48",EUROPA
2012,10,16,16/10/2012,CARTAGENA,"OLAM AMERICAS, INC",100188,"101189,88",ESTADOS UNIDOS,CALDAS,CALDAS,TRANSPORTE MARÍTIMO,"255479,4",0,0,0,"2,55","2,524752475","2,55",AMÉRICA
2012,10,19,19/10/2012,BOGOTÁ,"FUJI KOKi CO., LTD.","626,9",682,JAPÓN,CUNDINAMARCA,CUNDINAMARCA,TRANSPORTE AÉREO,"3636,02",0,0,0,"5,8","5,331407625","5,8",ASIA
2012,10,22,22/10/2012,CARTAGENA,"OLAM AMERICAS, INC",100188,"101189,88",ESTADOS UNIDOS,CALDAS,CALDAS,TRANSPORTE MARÍTIMO,"255479,4",0,0,0,"2,55","2,524752475","2,55",AMÉRICA
2012,10,26,26/10/2012,BUENAVENTURA,FACTA INTERNATIONAL B.V-,50094,"50594,94",INDIA,SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,"125034,62",0,0,0,"2,49599992","2,47128705","2,49599992",ASIA
2012,10,26,26/10/2012,BUENAVENTURA,FACTA INTERNATIONAL B.V-,50094,"50594,94",INDIA,SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,"125034,62",0,0,0,"2,49599992","2,47128705","2,49599992",ASIA
2012,10,29,29/10/2012,BOGOTÁ,INTERNATIONAL COCOA INC,164,182,JAPÓN,SANTANDER,BOGOTÁ,TRANSPORTE AÉREO,2092,648,60,0,"12,75609756","11,49450549","12,75609756",ASIA
2012,11,7,7/11/2012,BUENAVENTURA,FACTA INTERNATIONAL B.V-,100188,"101189,88",INDIA,SANTANDER,CALDAS,TRANSPORTE MARÍTIMO,"250069,24",0,0,0,"2,49599992","2,47128705","2,49599992",ASIA
2012,11,8,8/11/2012,BOGOTÁ,MHS INTERNATIONAL GMBH AND CO.KG,"27,5","32,67",ALEMANIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE AÉREO,"95,7",0,0,0,"3,48","2,929292929","3,48",EUROPA
2012,11,8,8/11/2012,CARTAGENA,ICAM SPA,100188,"101189,88",ITALIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,"257483,16","5009,4",0,0,"2,57","2,544554455","2,57",EUROPA
2012,11,14,14/11/2012,CARTAGENA,AGROINDUSTRIAS UNIDASDE CACAO S.A. DE C.V,50094,"50594,94",MÉXICO,CALDAS,CALDAS,TRANSPORTE MARÍTIMO,"131246,28",0,0,0,"2,62","2,594059406","2,62",AMÉRICA
2012,11,19,19/11/2012,CARTAGENA,NATRA CACAO S.L,25000,25250,ESPAÑA (UE),SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,63750,0,0,0,"2,55","2,524752475","2,55",EUROPA
2012,12,12,12/12/2012,CARTAGENA,AGROINDUSTRIAL UNIDAS DE CACAO S.A DE C.V,50000,50410,MÉXICO,ANTIOQUIA,SANTANDER,TRANSPORTE MARÍTIMO,"122897,5",2970,"632,5",0,"2,45795","2,437958738","2,45795",AMÉRICA
2012,12,12,12/12/2012,BOGOTÁ,MHS INTERNATIONAL GMBH AND CO.KG,30,"37,63",ALEMANIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE AÉREO,"104,4",0,0,0,"3,48","2,774382142","3,48",EUROPA
2012,12,14,14/12/2012,CARTAGENA,WILHELM EBERHARDT OHG,2000,2005,ALEMANIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,5560,0,100,2820,"2,78","2,773067332","2,78",EUROPA
2012,12,17,17/12/2012,CARTAGENA,NATRA CACAO S.L,25000,25250,ESPAÑA (UE),SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,63800,0,0,0,"2,552","2,526732673","2,552",EUROPA
2012,12,19,19/12/2012,BOGOTÁ,HOTEL CHOCOLATE LTDA.,900,913,ALEMANIA (UE),CUNDINAMARCA,CUNDINAMARCA,TRANSPORTE AÉREO,4500,3150,0,306,5,"4,928806134",5,EUROPA
2012,12,19,19/12/2012,BOGOTÁ,CAFE CACAO,100,110,JAPÓN,CUNDINAMARCA,CUNDINAMARCA,TRANSPORTE AÉREO,"466,05",0,0,0,"4,6605","4,236818182","4,6605",ASIA
2012,12,20,20/12/2012,CARTAGENA,ICAM SPA,100188,"101189,88",ITALIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,"265498,2","4501,8",0,0,"2,65","2,623762376","2,65",EUROPA
2012,12,20,20/12/2012,CARTAGENA,NEDERLAND S.A,100188,"101189,88",ESPAÑA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,"249468,12","3881,88",150,0,"2,49","2,465346535","2,49",EUROPA
2012,12,20,20/12/2012,CARTAGENA,GENERAL COCOA CO/GUAN CHONG COCOA MANUFACTER SDN BHD,50094,"50594,94",MALASIA,BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,"112711,5",0,0,0,"2,25","2,227722772","2,25",ASIA
2012,12,26,26/12/2012,CARTAGENA,GENERAL COCOA CO/GUAN CHONG COCOA MANUFACTER SDN BHD,50094,"50594,94",MALASIA,BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,"112711,5",0,0,0,"2,25","2,227722772","2,25",ASIA
2013,1,11,11/1/2013,CARTAGENA,AGROINDUSTRIAL UNIDAS DE CACAO S.A DE C.V,24931,25210,MÉXICO,ANTIOQUIA,SANTANDER,TRANSPORTE MARÍTIMO,57590,0,0,0,"2,309975532","2,284410948","2,309975532",AMÉRICA
2013,1,14,14/1/2013,CARTAGENA,GEPA mbH FLO ID 246,12500,12500,ALEMANIA (UE),ANTIOQUIA,ANTIOQUIA,TRANSPORTE MARÍTIMO,45750,0,0,0,"3,66","3,66","3,66",EUROPA
2013,1,15,15/1/2013,CARTAGENA,SR GENERAL COCOA CO- GUAN CHONG COCOA MANUFACTURER SDN BHD,50094,50594,MALASIA,CALDAS,BOGOTÁ,TRANSPORTE MARÍTIMO,127739,0,0,0,"2,549986026","2,524785548","2,549986026",ASIA
2013,1,15,15/1/2013,CARTAGENA,SR GENERAL COCOA CO-GUAN CHONG COCOA MANUFACTURER SDN BHD,100188,101189,MALASIA,CALDAS,BOGOTÁ,TRANSPORTE MARÍTIMO,225423,0,0,0,"2,25","2,227742146","2,25",ASIA
2013,1,15,15/1/2013,CARTAGENA,ICAM SPA,100188,101189,ITALIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,265498,4501,0,0,"2,649998004","2,623783218","2,649998004",EUROPA
2013,1,17,17/1/2013,CARTAGENA,NATRA CACAO S.L,25000,25250,ESPAÑA (UE),SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,64150,0,0,0,"2,566","2,540594059","2,566",EUROPA
2013,1,22,22/1/2013,BOGOTA,MHS INTERNATIONAL GMBH AND CO.KG,37,44,ALEMANIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE AÉREO,130,0,0,0,"3,513513514","2,954545455","3,513513514",EUROPA
2013,1,22,22/1/2013,CARTAGENA,AGROINDUSTRIAS UNIDASDE CACAO S.A. DE C.V,200376,202379,MÉXICO,CALDAS,CALDAS,TRANSPORTE MARÍTIMO,490921,0,0,0,"2,449999002","2,425750695","2,449999002",AMÉRICA
2013,1,25,25/1/2013,CARTAGENA,NEDERLAND S.A,100188,101189,ESPAÑA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,252473,4370,137,0,"2,519992414","2,495063693","2,519992414",EUROPA
2013,2,2,2/2/2013,CARTAGENA,INTERNATIONAL COCOA INC,50000,50500,ESTADOS UNIDOS,BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,125000,0,0,0,"2,5","2,475247525","2,5",AMÉRICA
2013,2,11,11/2/2013,CARTAGENA,DUTCH COCOA B.V.,24981,25210,PAÍSES BAJOS (UE),ANTIOQUIA,ANTIOQUIA,TRANSPORTE MARÍTIMO,102386,2208,525,0,"4,098554902","4,061324871","4,098554902",EUROPA
2013,2,12,12/2/2013,CARTAGENA,AGROINDUSTRIAL UNIDAS DE CACAO S.A DE C.V,24981,25210,MÉXICO,SANTANDER,SANTANDER,TRANSPORTE MARÍTIMO,58169,1485,299,0,"2,328529683","2,307378025","2,328529683",AMÉRICA
2013,2,12,12/2/2013,CARTAGENA,AGROINDUSTRIAL UNIDAS DE CACAO S.A DE C.V,24901,25130,MÉXICO,ANTIOQUIA,SANTANDER,TRANSPORTE MARÍTIMO,57521,0,0,0,"2,309987551","2,288937525","2,309987551",AMÉRICA
2013,2,12,12/2/2013,BOGOTA,MHS INTERNATIONAL GMBH AND CO.KG,32,38,ALEMANIA (UE),BOGOTÁ,BOGOTÁ,TRANSPORTE AÉREO,113,0,0,0,"3,53125","2,973684211","3,53125",EUROPA
2013,2,13,13/2/2013,CARTAGENA,COLCOCOA S.A.R.L,25000,25231,ITALIA (UE),SANTANDER,HUILA,TRANSPORTE MARÍTIMO,62500,0,0,0,"2,5","2,47711149","2,5",EUROPA
2013,2,18,18/2/2013,CARTAGENA,GENERAL COCOA CO/GUAN CHONG COCOA MANUFACTER SDN BHD,100188,101189,MALASIA,BOGOTÁ,BOGOTÁ,TRANSPORTE MARÍTIMO,246462,0,0,0,"2,459995209","2,435660003","2,459995209",ASIA
