centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
BUCARAMANGA,DN,CIL,08D,"4000000,00","17716522,91","500,00","10306826,00","3966420065,19","3962964760,93","3455304,26","2813063,876","2810613,3056","2450,5703",7,2,80,-9,4409,"9101568,00","-5646263,74","0,00","0,00","0,00","-5646263,74","3455304,26","9101568,00","73,43","26,51","0,00","0,05","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,CIL,08D,"4000000,00","10845178,00","142000,00","8631468,00","73609978,00","73609978,00","0,00","2103142,2285","2103142,2285","0,00",5,1,6,-3,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29,73","70,26","0,00","0,00","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,ADM,15D,"240000,00","22000000,00","3089879,49","815375,00","61870906,71","59244901,71","2626005,00","429659,0743","411422,9285","18236,1458",452,-2,25,-130,2356,"2626005,00","0,00","0,00","0,00","0,00","0,00","2626005,00","2626005,00","64,99","35,00","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,05D,"900000,00","977816,42","5500,00","877829,60","39882329,40","39280746,00","601583,40","291111,8934","286720,7737","4391,1197",5,9,56,-6,2667,"0,00","601583,40","0,00","0,00","0,00","601583,40","601583,40","601583,40","14,24","84,27","1,47","0,00","0,00","100,00",1,0,0,0
NULL,NULL,ADM,CTD,"0,00","1100000,00","187,20","1100000,00","43623705,88","43518505,88","105200,00","38066,0609","37974,2634","91,7975",6,6,76,0,2269,"0,00","55000,00","50200,00","0,00","0,00","105200,00","105200,00","105200,00","49,03","49,72","1,21","0,01","0,00","100,00",1,1,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","8547036,00","1200,00","6904772,00","563552667,16","563562823,43","-10156,27","893110,4075","893126,503","-16,0955",5,3,280,-43,3440,"0,00","-10080,00","0,00","-76,00","-0,27","-10156,27","-10156,27","0,00","63,30","32,59","1,31","0,01","2,76","100,00",0,0,0,0
PUERTO SALGAR,DC,CIL,08D,"2752640,00","5948366,40","50000,00","4821600,00","29049430,00","29049430,00","0,00","1936628,6666","1936628,6666","0,00",20,15,56,-7,609,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,34","51,65","32,99","0,00","0,00","100,00",0,0,0,0
PUERTO SALGAR,DC,ADM,15D,"229400,00","5217458,69","1900000,00","1900000,00","15077918,87","15077918,87","0,00","456906,6324","456906,6324","0,00",158,-2,4,-57,2356,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","47,54","52,45","0,00","0,00","0,00","100,00",0,0,0,0
VILLANUEVA,DC,CIL,08D,"3000000,00","9189918,00","116248,00","7599241,00","199386296,80","199386296,80","0,00","2121130,817","2121130,817","0,00",9,4,123,-6,2572,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,21","40,84","1,50","0,00","2,42","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","870983,12","10000,00","865112,76","1155850,72","1155850,72","0,00","165121,5314","165121,5314","0,00",141,141,564,10,2298,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,86","14,69","7,91","0,00","76,53","100,00",0,0,0,0
PUERTO SALGAR,DC,GRN,CTD,"1,00","2600000,00","8000,00","2600000,00","12171021,60","12344811,41","-173789,81","608551,08","617240,5705","-8689,4905",58,58,367,0,2703,"0,00","0,00","0,00","0,00","-173789,81","-173789,81","-173789,81","0,00","16,02","48,69","25,09","0,00","10,18","100,00",0,0,0,0
PUERTO SALGAR,DC,GRN,CTD,"0,00","1280545,00","23139,00","1280545,00","1303684,00","1303684,00","0,00","651842,00","651842,00","0,00",81,81,160,2,3552,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","98,22","0,00","0,00","1,77","100,00",0,0,0,0
SIBERIA,DC,GRN,CTD,"0,00","32000,00","8000,00","32000,00","529000,00","529000,00","0,00","12595,238","12595,238","0,00",0,0,0,0,2684,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","1444000,00","5300,00","1444000,00","31334122,85","31206122,85","128000,00","310238,84","308971,5133","1267,3267",22,15,399,-31,2207,"0,00","0,00","128000,00","0,00","0,00","128000,00","128000,00","128000,00","46,84","35,86","15,03","1,86","0,37","100,00",0,1,0,0
PUERTO SALGAR,DC,CIL,CTD,"1,00","3560470,00","6000,00","2983920,00","83115854,64","83338545,73","-222691,09","615672,9973","617322,5609","-1649,5636",10,7,306,-9,4409,"0,00","0,00","0,00","0,00","-222691,09","-222691,09","-222691,09","0,00","51,35","48,32","0,19","0,00","0,12","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"0,00","3500712,00","13817,00","3430697,76","46151151,68","46151151,68","0,00","1775044,2953","1775044,2953","0,00",102,95,1301,-7,3539,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","86,46","0,02","0,00","0,00","13,50","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","1951646,50","444,50","954000,00","2162863,00","2166157,00","-3294,00","270357,875","270769,625","-411,75",110,110,419,0,3094,"0,00","0,00","0,00","0,00","-3294,00","-3294,00","-3294,00","0,00","44,49","0,00","0,02","7,62","47,85","100,00",0,0,0,0
NULL,NULL,ADM,CTD,"0,00","1200000,00","1200,00","1200000,00","12999803,35","12999803,35","0,00","259996,067","259996,067","0,00",6,4,122,-30,2243,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","38,19","59,81","1,98","0,00","0,00","100,00",0,0,0,0
BUENAVENTURA,DS,CIL,08D,"3000000,00","3402582,00","200,00","2863555,00","939041425,72","937073494,18","1967931,54","739402,6974","737853,145","1549,5523",6,0,46,-38,3481,"2050456,00","-82524,46","0,00","0,00","0,00","-82524,46","1967931,54","2050456,00","79,60","19,86","0,52","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"1,00","616344,00","21960,00","610180,56","3985454,88","3985454,88","0,00","398545,488","398545,488","0,00",5,-38,-26,-45,2523,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,CTD,"1,00","2915429,22","57420,00","1752525,72","16490603,36","16490603,36","0,00","687108,4733","687108,4733","0,00",1,-1,1,-3,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85,68","14,31","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,CIL,08D,"8500000,00","14949090,54","67399,00","8597782,61","647488372,20","647488372,20","0,00","2621410,4137","2621410,4137","0,00",13,7,907,-8,4401,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","32,15","66,33","0,83","0,00","0,67","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"1,00","1546,25","1042,00","1546,25","8190,95","8190,95","0,00","1365,1583","1365,1583","0,00",632,632,686,552,3860,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
CAUCASIA,DN,CIL,CTD,"0,00","6310960,00","52880,00","6310960,00","26177776,00","26177776,00","0,00","2379797,8181","2379797,8181","0,00",205,205,555,67,2591,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","14,20","85,79","100,00",0,0,0,0
GUARNE,DS,CIL,CTD,"0,00","1577740,00","1577740,00","1577740,00","1577740,00","1577740,00","0,00","1577740,00","1577740,00","0,00",50,50,50,50,2006,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","100,00",0,0,0,0
BUCARAMANGA,DN,GRN,30D,"2200000,00","1245995,56","262310,40","937438,82","54815161,16","52145426,57","2669734,59","453017,8608","430953,9385","22063,9222",55,25,72,-13,2660,"1071526,80","733972,49","864235,30","0,00","0,00","1598207,79","2669734,59","2669734,59","6,64","48,55","41,40","3,38","0,00","100,00",1,1,0,0
NULL,NULL,ADM,CTD,"0,00","2953798,00","59050,00","2450000,00","23298871,00","23298871,00","0,00","517752,6888","517752,6888","0,00",7,0,43,-46,2327,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9,75","90,24","0,00","0,00","0,00","100,00",0,0,0,0
MANIZALES,DS,GRN,30D,"40500000,00","19372332,79","2900,00","15406351,78","573245736,18","564978704,92","8267031,26","3275689,921","3228449,7424","47240,1786",38,8,48,-27,2520,"8172434,78","155184,66","0,00","-825,24","-59762,94","94596,48","8267031,26","8327619,44","3,09","95,06","1,84","0,00","0,00","100,00",1,0,0,0
BELLO,DS,GRN,CTD,"0,00","1687954,40","1687954,40","1687954,40","1687954,40","1687954,40","0,00","1687954,40","1687954,40","0,00",1,1,1,1,212,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,GRN,60D,"165000000,00","13897831,20","50610,00","6477557,26","141206441,68","76773261,18","64433180,50","1384376,8792","752679,0311","631697,848",69,8,23,-61,212,"46330858,15","18102322,35","0,00","0,00","0,00","18102322,35","64433180,50","64433180,50","2,99","97,00","0,00","0,00","0,00","100,00",1,0,0,0
YUMBO,DS,GRN,CTD,"1,00","12729664,20","388,09","6992400,08","194842851,06","194842851,06","0,00","2997582,324","2997582,324","0,00",26,12,103,-14,3180,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,58","87,43","0,26","0,00","1,71","100,00",0,0,0,0
YUMBO,DS,ADM,CTD,"1,00","3467294,81","3467294,81","3455679,08","3455679,08","3455679,08","0,00","3455679,08","3455679,08","0,00",1,0,0,0,639,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
NULL,NULL,CIL,CTD,"1,00","10190780,00","416,00","10037918,30","136759001,06","137243621,06","-484620,00","768308,9947","771031,5789","-2722,5842",17,-24,710,-47,2481,"0,00","0,00","0,00","0,00","-484620,00","-484620,00","-484620,00","0,00","95,48","3,70","0,00","0,00","0,80","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,CTD,"1,00","6311040,00","4000,00","4998758,00","601334105,69","598818574,09","2515531,60","1638512,5495","1631658,24","6854,3095",24,2,149,-6,2080,"2515531,60","0,00","0,00","0,00","0,00","0,00","2515531,60","2515531,60","57,30","42,53","0,04","0,12","0,00","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,CTD,"7,00","6362216,26","2250,00","4187860,00","32385863,56","32491271,26","-105407,70","1044705,2761","1048105,5245","-3400,2483",91,8,31,-6,752,"0,00","-24670,00","-2250,00","0,00","-78487,70","-105407,70","-105407,70","0,00","24,03","72,49","3,47","0,00","0,00","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,08D,"3000000,00","7254388,00","956012,00","4952675,00","42941262,70","39938214,70","3003048,00","2525956,6294","2349306,747","176649,8823",45,38,202,0,752,"0,00","3003048,00","0,00","0,00","0,00","3003048,00","3003048,00","3003048,00","1,05","88,01","0,00","0,00","10,92","100,00",1,0,0,0
BELLO,DS,GRN,30D,"14200000,00","21648480,00","66264,00","14594160,00","188059953,89","191991713,89","-3931760,00","4274089,8611","4363448,0429","-89358,1818",17,11,119,-31,2367,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","88,55","11,20","0,23","0,00","0,00","100,00",0,0,0,0
BELLO,DS,GRN,30D,"33900000,00","19411158,70","126102,40","19263393,32","975726566,99","913570248,00","62156318,99","4854361,0298","4545125,6119","309235,4178",25,-4,50,-31,2367,"28593873,30","33562445,69","0,00","0,00","0,00","33562445,69","62156318,99","62156318,99","67,29","25,49","7,20","0,00","0,00","100,00",1,0,0,0
JAMUNDI,DS,CIL,CTD,"0,00","349360,00","99900,00","173360,00","2496714,60","2496714,60","0,00","118891,1714","118891,1714","0,00",15,4,66,-23,3333,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79,89","10,56","5,28","4,25","0,00","100,00",0,0,0,0
NULL,NULL,CIL,CTD,"0,00","30000,00","20000,00","30000,00","50000,00","50000,00","0,00","25000,00","25000,00","0,00",0,10,21,0,2369,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
