Country_origen;Year;Quantity;Import;Type;Valor_euro
Australia;2018;741;Germany;Chocolates o bombones;2559
Austria;2018;392774;Germany;Chocolates o bombones;3229448
Belgium;2018;1981814;Germany;Chocolates o bombones;13262200
Brazil;2018;135;Germany;Chocolates o bombones;917
Canada;2018;1063;Germany;Chocolates o bombones;5231
China;2018;32881;Germany;Chocolates o bombones;399016
Cyprus;2018;16;Germany;Chocolates o bombones;221
Colombia;2018;316;Germany;Chocolates o bombones;1544
Croatia;2018;3228;Germany;Chocolates o bombones;16793
Denmark;2018;347543;Germany;Chocolates o bombones;2382216
Greece;2018;6655;Germany;Chocolates o bombones;27361
Hungary;2018;11835;Germany;Chocolates o bombones;85522
India;2018;131;Germany;Chocolates o bombones;935
United Kingdom;2018;103409;Germany;Chocolates o bombones;640817
Czech Republic;2018;38167;Germany;Chocolates o bombones;488084
Romania;2018;5534;Germany;Chocolates o bombones;48113
Russia;2018;141724;Germany;Chocolates o bombones;442823
Serbia;2018;2321;Germany;Chocolates o bombones;7001
South Africa;2018;68;Germany;Chocolates o bombones;2087
Sweden;2018;481326;Germany;Chocolates o bombones;2895288
Switzerland;2018;2546877;Germany;Chocolates o bombones;23698884
Turkey;2018;18074;Germany;Chocolates o bombones;103609
Ukraine;2018;30342;Germany;Chocolates o bombones;70937
Other;2018;8892;Germany;Chocolates o bombones;21150
Latvia;2018;74210;Germany;Chocolates o bombones;223769
Slovenia;2018;6;Germany;Chocolates o bombones;76
Spain;2018;168317;Germany;Chocolates o bombones;913621
United States;2018;31249;Germany;Chocolates o bombones;210148
Estonia;2018;8;Germany;Chocolates o bombones;248
Finland;2018;17781;Germany;Chocolates o bombones;188742
France;2018;1121371;Germany;Chocolates o bombones;8656996
Greece;2018;558;Germany;Chocolates o bombones;4425
Hungary;2018;598764;Germany;Chocolates o bombones;3675577
Ireland;2018;3;Germany;Chocolates o bombones;72
Luxembourg;2018;4336;Germany;Chocolates o bombones;43575
Macedonia;2018;1714;Germany;Chocolates o bombones;5326
Mexico;2018;497;Germany;Chocolates o bombones;3558
Norway;2018;5535;Germany;Chocolates o bombones;31457
Netherlands;2018;6037089;Germany;Chocolates o bombones;34605123
Poland;2018;9109619;Germany;Chocolates o bombones;77192654
Portugal;2018;3689;Germany;Chocolates o bombones;24321
Czech Republic;2018;30467;Germany;Chocolates o bombones;372856
Romania;2018;25382;Germany;Chocolates o bombones;280425
Russia;2018;1335775;Germany;Chocolates o bombones;4069229
Belgium;2018;13773520;Germany;Chocolates o bombones;110505735
Other;2018;36039;Germany;Chocolates o bombones;121321
Brazil;2018;765;Germany;Chocolates o bombones;6890
Bulgaria;2018;114670;Germany;Chocolates o bombones;552467
Canada;2018;24024;Germany;Chocolates o bombones;265671
China;2018;221;Germany;Chocolates o bombones;3806
Colombia;2018;150;Germany;Chocolates o bombones;3519
Croatia;2018;1394;Germany;Chocolates o bombones;7299
Denmark;2018;167942;Germany;Chocolates o bombones;1341107
United Arab Emirates;2018;21168;Germany;Chocolates o bombones;57167
Slovakia;2018;34194;Germany;Chocolates o bombones;253516
Iceland;2018;1872;Germany;Chocolates o bombones;15041
Italy;2018;1365794;Germany;Chocolates o bombones;14739587
Latvia;2018;4502;Germany;Otros productos con cacao;8832
Other;2018;570;Germany;Otros productos con cacao;12332
Lithuania;2018;416;Germany;Otros productos con cacao;5403
United Kingdom;2018;530078;Germany;Otros productos con cacao;2988655
Czech Republic;2018;29772;Germany;Otros productos con cacao;131754
Romania;2018;15;Germany;Otros productos con cacao;403
Russia;2018;24388;Germany;Otros productos con cacao;60317
Serbia;2018;90363;Germany;Otros productos con cacao;230469
Other;2018;1070;Germany;Otros productos con cacao;3698
Sweden;2018;601971;Germany;Otros productos con cacao;1030133
Other;2018;3802;Germany;Chocolates o bombones;15740
Latvia;2018;217819;Germany;Chocolates o bombones;866114
Lithuania;2018;63286;Germany;Chocolates o bombones;244989
Luxembourg;2018;1981;Germany;Chocolates o bombones;27228
Macedonia;2018;7739;Germany;Chocolates o bombones;39825
Mexico;2018;1;Germany;Chocolates o bombones;26
Other;2018;17;Germany;Chocolates o bombones;681
Norway;2018;20994;Germany;Chocolates o bombones;139447
Serbia;2018;1654;Germany;Chocolates o bombones;14468
Other;2018;2727;Germany;Chocolates o bombones;11301
South Africa;2018;470;Germany;Chocolates o bombones;5263
Sweden;2018;1590821;Germany;Chocolates o bombones;7710395
Switzerland;2018;324942;Germany;Otros productos con cacao;2492338
Thailand;2018;5962;Germany;Otros productos con cacao;60202
Turkey;2018;116732;Germany;Otros productos con cacao;353727
Ukraine;2018;6859;Germany;Otros productos con cacao;8081
Switzerland;2018;6176827;Germany;Chocolates o bombones;38820647
Turkey;2018;193580;Germany;Chocolates o bombones;527784
Ukraine;2018;700780;Germany;Chocolates o bombones;2390460
Other;2018;39;Germany;Chocolates o bombones;722
Australia;2018;32;Germany;Chocolates o bombones;664
Austria;2018;3029509;Germany;Chocolates o bombones;10822894
Spain;2018;444408;Germany;Chocolates o bombones;2533279
United States;2018;132204;Germany;Chocolates o bombones;686201
Estonia;2018;74;Germany;Chocolates o bombones;3630
Finland;2018;372061;Germany;Chocolates o bombones;3099996
France;2018;4350387;Germany;Chocolates o bombones;28369864
Greece;2018;3102;Germany;Chocolates o bombones;22845
Hungary;2018;629;Germany;Chocolates o bombones;12315
Slovakia;2018;18026;Germany;Otros productos con cacao;158527
Spain;2018;43152;Germany;Otros productos con cacao;207706
United States;2018;6198;Germany;Otros productos con cacao;41140
Finland;2018;1;Germany;Otros productos con cacao;17
France;2018;694611;Germany;Otros productos con cacao;2223236
Greece;2018;55903;Germany;Otros productos con cacao;184339
Other;2018;550;Germany;Otros productos con cacao;8904
Hungary;2018;12365;Germany;Otros productos con cacao;115165
India;2018;6176;Germany;Otros productos con cacao;126337
Luxembourg;2018;18981;Germany;Otros productos con cacao;22245
Macedonia;2018;153;Germany;Otros productos con cacao;714
Ireland;2018;12682;Germany;Chocolates o bombones;109862
Iceland;2018;1517;Germany;Chocolates o bombones;14884
Israel;2018;60;Germany;Chocolates o bombones;570
Italy;2018;10589432;Germany;Chocolates o bombones;40298335
Japan;2018;89;Germany;Chocolates o bombones;725
Other;2018;87990;Germany;Chocolates o bombones;237128
Netherlands;2018;7600696;Germany;Chocolates o bombones;40990426
Poland;2018;7116198;Germany;Chocolates o bombones;46941254
Portugal;2018;3371;Germany;Chocolates o bombones;21591
United Kingdom;2018;4289578;Germany;Chocolates o bombones;22904740
Mexico;2018;2275;Germany;Otros productos con cacao;7012
Norway;2018;4608;Germany;Otros productos con cacao;40199
Netherlands;2018;2887132;Germany;Otros productos con cacao;26565963
Poland;2018;1149257;Germany;Otros productos con cacao;4384756
Portugal;2018;3195;Germany;Otros productos con cacao;29190
Portugal;2018;360;Germany;Otros productos con cacao;605
Austria;2018;902600;Germany;Otros productos con cacao;2384579
Belgium;2018;2644976;Germany;Otros productos con cacao;4812939
Other;2018;2592;Germany;Otros productos con cacao;12223
Brazil;2018;83;Germany;Otros productos con cacao;634
Bulgaria;2018;210;Germany;Otros productos con cacao;2077
Canada;2018;1865;Germany;Otros productos con cacao;19654
China;2018;7196;Germany;Otros productos con cacao;14872
Cyprus;2018;5;Germany;Otros productos con cacao;72
Colombia;2018;4978;Germany;Otros productos con cacao;52704
Croatia;2018;6741;Germany;Otros productos con cacao;23504
Denmark;2018;71689;Germany;Otros productos con cacao;389949
Ireland;2018;154330;Germany;Otros productos con cacao;549606
Israel;2018;718;Germany;Otros productos con cacao;2602
Italy;2018;961386;Germany;Otros productos con cacao;4563845
Japan;2018;786;Germany;Otros productos con cacao;1868
United States;2018;26777;Germany;Otros productos con cacao;319264
Netherlands;2018;45226;Germany;Otros productos con cacao;357969
Poland;2018;1851933;Germany;Otros productos con cacao;15935578
United Kingdom;2018;4713;Germany;Otros productos con cacao;62275
Czech Republic;2018;70156;Germany;Otros productos con cacao;939749
Romania;2018;31;Germany;Otros productos con cacao;290
Other;2018;16391;Germany;Chocolates o bombones;49861
Bulgaria;2018;55454;Germany;Chocolates o bombones;266414
Canada;2018;5387;Germany;Chocolates o bombones;64466
China;2018;3314;Germany;Chocolates o bombones;26631
Cyprus;2018;313;Germany;Chocolates o bombones;2853
France;2018;9039669;Germany;Otros productos con cacao;16110092
Greece;2018;390;Germany;Otros productos con cacao;2538
Hungary;2018;10759;Germany;Otros productos con cacao;75829
Indonesia;2018;4536;Germany;Otros productos con cacao;26535
Other;2018;500;Germany;Otros productos con cacao;610
Israel;2018;288;Germany;Otros productos con cacao;1442
United Kingdom;2018;463111;Germany;Otros productos con cacao;1938192
Czech Republic;2018;310361;Germany;Otros productos con cacao;2341216
Romania;2018;3705;Germany;Otros productos con cacao;28479
Russia;2018;446;Germany;Otros productos con cacao;3499
Other;2018;1;Germany;Otros productos con cacao;1
Sweden;2018;1737010;Germany;Otros productos con cacao;4407103
Colombia;2018;600;Germany;Chocolates o bombones;7388
Croatia;2018;1039;Germany;Chocolates o bombones;12086
Denmark;2018;1080642;Germany;Chocolates o bombones;8376703
United Arab Emirates;2018;5642;Germany;Chocolates o bombones;67716
Slovakia;2018;156855;Germany;Chocolates o bombones;794138
Slovenia;2018;111;Germany;Chocolates o bombones;2124
Slovakia;2018;185;Germany;Otros productos con cacao;1862
Slovenia;2018;1;Germany;Otros productos con cacao;8
Spain;2018;5979;Germany;Otros productos con cacao;54416
Finland;2018;34596;Germany;Otros productos con cacao;297472
France;2018;27312;Germany;Otros productos con cacao;342836
Greece;2018;12;Germany;Otros productos con cacao;327
Hungary;2018;11;Germany;Otros productos con cacao;112
Ireland;2018;112459;Germany;Otros productos con cacao;1334950
Italy;2018;88345;Germany;Otros productos con cacao;660960
Other;2018;31561;Germany;Otros productos con cacao;66550
Switzerland;2018;3076270;Germany;Otros productos con cacao;15142896
Thailand;2018;198;Germany;Otros productos con cacao;1158
Other;2018;2144;Germany;Otros productos con cacao;7441
Turkey;2018;220;Germany;Otros productos con cacao;1241
Ukraine;2018;855;Germany;Otros productos con cacao;5887
Other;2018;350;Germany;Otros productos con cacao;1306
Other;2018;2000;Germany;Otros productos con cacao;4490
Turkey;2018;124509;Germany;Otros productos con cacao;432559
Australia;2018;145;Germany;Otros productos con cacao;1695
Austria;2018;733702;Germany;Otros productos con cacao;2597137
Belgium;2018;2693202;Germany;Otros productos con cacao;7370408
Brazil;2018;529;Germany;Otros productos con cacao;3079
Canada;2018;171;Germany;Otros productos con cacao;5646
China;2018;29542;Germany;Otros productos con cacao;147936
Cyprus;2018;55;Germany;Otros productos con cacao;246
Colombia;2018;1;Germany;Otros productos con cacao;9
Croatia;2018;2230;Germany;Otros productos con cacao;28591
Denmark;2018;361051;Germany;Otros productos con cacao;1001219
Slovakia;2018;179;Germany;Otros productos con cacao;1649
Slovenia;2018;1796;Germany;Otros productos con cacao;22160
Italy;2018;47722;Germany;Otros productos con cacao;331818
Luxembourg;2018;20;Germany;Otros productos con cacao;265
Latvia;2018;16082;Germany;Otros productos con cacao;178220
Russia;2018;140711;Germany;Otros productos con cacao;282435
Sweden;2018;10;Germany;Otros productos con cacao;190
Switzerland;2018;85441;Germany;Otros productos con cacao;1510091
Ukraine;2018;19436;Germany;Otros productos con cacao;60555
Austria;2018;1209508;Germany;Chocolates o bombones;13917374
Belgium;2018;10494779;Germany;Chocolates o bombones;62491509
Netherlands;2018;1650169;Germany;Otros productos con cacao;7576678
Poland;2018;2436821;Germany;Otros productos con cacao;7233222
Spain;2018;62527;Germany;Otros productos con cacao;244070
United States;2018;25;Germany;Otros productos con cacao;255
Other;2018;1800;Germany;Otros productos con cacao;17382
Finland;2018;7938;Germany;Otros productos con cacao;10446
Macedonia;2018;22523;Germany;Otros productos con cacao;34822
Netherlands;2018;5930758;Germany;Otros productos con cacao;21572399
Poland;2018;1455370;Germany;Otros productos con cacao;24600302
Netherlands;2018;2179267;Germany;Chocolates o bombones;13850144
Peru;2018;273;Germany;Chocolates o bombones;2413
Poland;2018;5330671;Germany;Chocolates o bombones;18092217
Sweden;2018;909470;Germany;Chocolates o bombones;4724875
Switzerland;2018;7960068;Germany;Chocolates o bombones;55886353
Other;2018;19;Germany;Chocolates o bombones;143
Turkey;2018;26550;Germany;Chocolates o bombones;103493
Ukraine;2018;4445;Germany;Chocolates o bombones;16918
Other;2018;42;Germany;Chocolates o bombones;1085
Vietnam;2018;26;Germany;Chocolates o bombones;252
Austria;2018;408213;Germany;Otros productos con cacao;4556924
Portugal;2018;20879;Germany;Otros productos con cacao;31539
United Kingdom;2018;65383;Germany;Otros productos con cacao;221343
Czech Republic;2018;57821;Germany;Otros productos con cacao;630215
Romania;2018;35826;Germany;Otros productos con cacao;45538
Serbia;2018;24495;Germany;Otros productos con cacao;83661
Other;2018;738;Germany;Otros productos con cacao;1315
Sweden;2018;4579;Germany;Otros productos con cacao;17767
Switzerland;2018;1147671;Germany;Otros productos con cacao;6028086
Spain;2018;214620;Germany;Otros productos con cacao;1492596
Belgium;2018;494989;Germany;Otros productos con cacao;3749605
Other;2018;2959;Germany;Otros productos con cacao;11586
Bulgaria;2018;28;Germany;Otros productos con cacao;546
Croatia;2018;32;Germany;Otros productos con cacao;352
Denmark;2018;1104498;Germany;Otros productos con cacao;9518426
Luxembourg;2018;47;Germany;Otros productos con cacao;636
Other;2018;16253;Germany;Chocolates o bombones;95245
Latvia;2018;4678;Germany;Chocolates o bombones;16323
Other;2018;526;Germany;Chocolates o bombones;2014
Lithuania;2018;153118;Germany;Chocolates o bombones;899081
Luxembourg;2018;200;Germany;Chocolates o bombones;1459
Macedonia;2018;7135;Germany;Chocolates o bombones;13346
Portugal;2018;5607;Germany;Chocolates o bombones;26185
United Kingdom;2018;486835;Germany;Chocolates o bombones;2831447
Ukraine;2018;181978;Germany;Otros productos con cacao;408708
Austria;2018;122790;Germany;Otros productos con cacao;1137986
Belgium;2018;1350794;Germany;Otros productos con cacao;3400567
Other;2018;417;Germany;Otros productos con cacao;1398
Brazil;2018;883;Germany;Otros productos con cacao;5468
Bulgaria;2018;7922;Germany;Otros productos con cacao;127632
China;2018;2789;Germany;Otros productos con cacao;19065
Cyprus;2018;922;Germany;Otros productos con cacao;1664
France;2018;525198;Germany;Otros productos con cacao;1433317
Greece;2018;6965;Germany;Otros productos con cacao;13003
Czech Republic;2018;43839;Germany;Chocolates o bombones;297216
Romania;2018;12824;Germany;Chocolates o bombones;81794
Russia;2018;46469;Germany;Chocolates o bombones;235878
Serbia;2018;33429;Germany;Chocolates o bombones;122617
Other;2018;78;Germany;Chocolates o bombones;1191
South Africa;2018;114;Germany;Chocolates o bombones;1299
Ghana;2018;22926;Germany;Chocolates o bombones;180168
Greece;2018;9815;Germany;Chocolates o bombones;58607
Hungary;2018;402;Germany;Chocolates o bombones;2832
India;2018;67;Germany;Chocolates o bombones;1161
Other;2018;611;Germany;Chocolates o bombones;3212
Ireland;2018;1180;Germany;Chocolates o bombones;14409
Iceland;2018;653;Germany;Chocolates o bombones;9829
Israel;2018;325;Germany;Chocolates o bombones;5760
Ireland;2018;4610;Germany;Otros productos con cacao;10901
Israel;2018;904;Germany;Otros productos con cacao;5315
Italy;2018;1772355;Germany;Otros productos con cacao;8939380
Latvia;2018;14944;Germany;Otros productos con cacao;80394
